receipts_item_id,purchase_time,category,format,unit_price,discount,quantity,weekday,
32000000,,,,,,,,
32000001,,,,,,,,
32030785,2018-07-17 18:05:00,Rice,minimarket,63500.0,0.0,1.0,Tuesday,
32000002,,,,,,,,
32000003,,,,,,,,
32000004,,,,,,,,
32369294,2018-07-22 21:19:00,Rice,supermarket,128000.0,0.0,1.0,Sunday,
31885876,2018-07-15 16:17:00,Rice,minimarket,102750.0,0.0,1.0,,
31930241,2018-07-15 12:12:00,Rice,supermarket,64000.0,0.0,3.0,Sunday,
32418582,2018-07-24 08:27:00,Rice,minimarket,65000.0,0.0,1.0,Tuesday,
32561236,2018-07-26 11:28:00,Rice,supermarket,124500.0,0.0,1.0,Thursday,
32030785,2018-07-17 18:05:00,Rice,minimarket,63500.0,0.0,1.0,Tuesday,
32935097,2018-07-29 18:18:00,Rice,supermarket,66500.0,0.0,1.0,Sunday,
32593606,2018-07-25 12:48:00,Rice,minimarket,62500.0,0.0,1.0,Wednesday,
32573843,2018-07-26 16:41:00,Rice,minimarket,62500.0,0.0,1.0,Thursday,
31913062,2018-07-14 21:17:00,Rice,supermarket,64000.0,0.0,3.0,Saturday,
31125365,2018-07-02 15:39:00,Rice,minimarket,112500.0,0.0,1.0,Monday,
32856560,2018-07-31 05:51:00,Rice,hypermarket,77750.0,0.0,1.0,Tuesday,
32552145,2018-07-26 11:43:00,Rice,minimarket,66500.0,0.0,1.0,Thursday,
32369065,2018-07-23 14:22:00,Rice,minimarket,62900.0,0.0,1.0,Monday,
